Id;Label;cluster(WorkGroup);ClusterRevized
1;U106;6;
2;U107;5;
3;U118;6;
4;U1;1;
5;U21;4;
6;U22;6;
7;U26;6;
8;U29;5;
9;U32;5;
10;U41;6;
11;U42;6;
12;U49;6;
13;U59;7;
14;U97;4;
15;U124;2;
16;U17;5;
17;U91;7;
18;U109;2;
19;U126;4;
20;U130;2;
21;U134;3;
22;U18;2;
23;U3;2;
24;U47;2;
25;U54;2;
26;U62;2;
27;U76;2;
28;U79;2;
29;U90;2;
30;U99;2;
31;U10;1;
32;U13;3;
33;U142;3;
34;U14;1;
35;U19;1;
36;U23;1;
37;U37;4;
38;U73;1;
39;U110;7;
40;U113;7;
41;U138;7;
42;U53;7;
43;U65;7;
44;U67;4;
45;U72;7;
46;U112;3;
47;U48;3;
48;U68;3;
49;U69;4;
50;U6;4;
51;U92;3;
52;U141;3;
