Source;Target;Label;Type
6;7;1,3,5;undirected
6;10;1,5;undirected
6;11;1,4,5;undirected
6;12;1,5;undirected
7;10;1;undirected
7;11;1,5;undirected
7;12;1,5;undirected
8;9;1,2,3,4,5;undirected
8;16;1,5;undirected
8;34;1;undirected
9;16;1,5;undirected
9;20;1,2,5;undirected
9;34;1,5;undirected
9;38;1,5;undirected
10;11;1;undirected
11;12;1,2,4;undirected
11;24;1;undirected
13;17;1,2,4,5;undirected
13;19;1;undirected
13;39;1,2,4,5;undirected
13;42;1;undirected
13;43;1,4;undirected
13;44;1,2,5;undirected
13;45;1,4;undirected
14;19;1;undirected
14;37;1;undirected
14;49;1;undirected
14;50;1;undirected
15;18;1,2;undirected
15;19;1,4;undirected
15;24;1,2;undirected
15;30;1,4;undirected
16;34;1,4,5;undirected
16;36;1,4,5;undirected
16;38;1,4,5;undirected
17;19;1,4;undirected
17;39;1,2,3,4,5;undirected
17;42;1,3,4,5;undirected
17;43;1,2,4,5;undirected
17;44;1,2,5;undirected
17;45;1,3,4,5;undirected
18;19;1,4;undirected
18;21;1;undirected
18;22;1,2;undirected
18;23;1;undirected
18;24;1,2;undirected
18;25;1,2,4,5;undirected
18;26;1,5;undirected
18;27;1,2,4;undirected
18;28;1,2;undirected
18;29;1,4;undirected
18;30;1;undirected
19;25;1,4;undirected
19;29;1,4;undirected
19;37;1;undirected
19;39;1,4,5;undirected
19;40;1;undirected
19;41;1;undirected
19;45;1;undirected
19;49;1,4,5;undirected
19;50;1;undirected
20;21;1,2,3,5;undirected
20;28;1,2,5;undirected
20;39;1;undirected
21;25;1;undirected
21;26;1;undirected
21;27;1;undirected
21;28;1;undirected
21;29;1;undirected
21;30;1,5;undirected
21;32;1;undirected
21;47;1;undirected
21;51;1;undirected
22;23;1,2;undirected
22;25;1,2;undirected
22;26;1,4,5;undirected
22;27;1,2,3,4;undirected
22;28;1,2;undirected
22;29;1;undirected
22;30;1,4;undirected
23;25;1,2,4;undirected
23;26;1;undirected
23;27;1,2;undirected
23;28;1,2;undirected
23;29;1,4,5;undirected
24;28;1,2;undirected
24;30;1,3,5;undirected
25;26;1;undirected
25;27;1,2,4;undirected
25;28;1,2,4,5;undirected
25;29;1,4,5;undirected
26;27;1,4,5;undirected
26;28;1;undirected
26;29;1;undirected
27;28;1,2,4;undirected
27;29;1,4;undirected
27;30;1;undirected
28;29;1,4;undirected
28;30;1,4,5;undirected
29;50;1,4;undirected
31;34;1,5;undirected
31;35;1,5;undirected
32;33;1;undirected
1;6;1;undirected
1;7;1,5;undirected
1;10;1,4,5;undirected
1;11;1;undirected
1;12;1;undirected
1;14;1;undirected
1;3;1,3,4,5;undirected
34;35;1,4,5;undirected
34;36;1,4,5;undirected
34;38;1,4,5;undirected
35;36;1,4,5;undirected
35;38;1,4,5;undirected
36;38;1,4,5;undirected
37;44;1,5;undirected
37;49;1;undirected
37;50;1;undirected
39;40;1,2,4,5;undirected
39;42;1,3,5;undirected
39;45;1,5;undirected
40;41;1,4,5;undirected
40;44;1,2,5;undirected
40;45;1;undirected
41;45;1,4;undirected
42;43;1;undirected
42;45;1,3;undirected
2;8;1,2,5;undirected
2;9;1,2,4,5;undirected
2;16;1,4,5;undirected
43;44;1,5;undirected
43;45;1,4,5;undirected
44;45;1,5;undirected
45;49;1;undirected
46;47;1;undirected
46;48;1,5;undirected
47;48;1;undirected
47;51;1;undirected
47;52;1;undirected
48;51;1;undirected
48;52;1,4,5;undirected
49;50;1,2;undirected
51;52;1;undirected
3;6;1;undirected
3;7;1,5;undirected
3;10;1,3,4,5;undirected
