Source;Target;Label;Type
1;3;D1;undirected
1;7;D1;undirected
1;10;D1;undirected
2;8;D1;undirected
2;9;D1;undirected
2;16;D1;undirected
3;7;D1;undirected
3;10;D1;undirected
3;14;D1;undirected
3;29;D1;undirected
3;44;D1;undirected
4;7;D1;undirected
4;9;D1;undirected
4;15;D1;undirected
4;20;D1;undirected
4;28;D1;undirected
4;31;D1;undirected
4;34;D1;undirected
4;35;D1;undirected
4;36;D1;undirected
4;38;D1;undirected
5;44;D1;undirected
6;7;D1;undirected
6;10;D1;undirected
6;11;D1;undirected
6;12;D1;undirected
7;9;D1;undirected
7;11;D1;undirected
7;12;D1;undirected
7;14;D1;undirected
7;20;D1;undirected
7;28;D1;undirected
7;39;D1;undirected
8;9;D1;undirected
8;16;D1;undirected
9;14;D1;undirected
9;16;D1;undirected
9;20;D1;undirected
9;34;D1;undirected
9;38;D1;undirected
9;39;D1;undirected
11;28;D1;undirected
13;17;D1;undirected
13;39;D1;undirected
13;44;D1;undirected
14;44;D1;undirected
15;20;D1;undirected
16;34;D1;undirected
16;36;D1;undirected
16;38;D1;undirected
17;39;D1;undirected
17;40;D1;undirected
17;41;D1;undirected
17;42;D1;undirected
17;43;D1;undirected
17;44;D1;undirected
17;45;D1;undirected
18;20;D1;undirected
18;25;D1;undirected
18;26;D1;undirected
19;39;D1;undirected
19;44;D1;undirected
19;49;D1;undirected
20;21;D1;undirected
20;22;D1;undirected
20;24;D1;undirected
20;25;D1;undirected
20;26;D1;undirected
20;27;D1;undirected
20;28;D1;undirected
20;30;D1;undirected
20;31;D1;undirected
21;30;D1;undirected
22;26;D1;undirected
23;29;D1;undirected
24;26;D1;undirected
24;30;D1;undirected
25;28;D1;undirected
25;29;D1;undirected
25;32;D1;undirected
25;35;D1;undirected
26;27;D1;undirected
28;30;D1;undirected
28;39;D1;undirected
31;34;D1;undirected
31;35;D1;undirected
31;36;D1;undirected
31;38;D1;undirected
32;47;D1;undirected
32;51;D1;undirected
33;48;D1;undirected
34;35;D1;undirected
34;36;D1;undirected
34;38;D1;undirected
35;36;D1;undirected
35;38;D1;undirected
36;38;D1;undirected
37;44;D1;undirected
39;40;D1;undirected
39;41;D1;undirected
39;42;D1;undirected
39;44;D1;undirected
39;45;D1;undirected
40;41;D1;undirected
40;44;D1;undirected
41;44;D1;undirected
43;44;D1;undirected
43;45;D1;undirected
44;45;D1;undirected
44;49;D1;undirected
44;50;D1;undirected
46;48;D1;undirected
47;49;D1;undirected
48;52;D1;undirected
