Source;Target;Label;Type
1;2;D1;undirected
1;4;D1;undirected
1;5;D1;undirected
1;8;D1;undirected
1;9;D1;undirected
1;13;D1;undirected
2;8;D1;undirected
2;9;D1;undirected
2;15;D1;undirected
4;8;D1;undirected
4;9;D1;undirected
4;28;D1;undirected
4;31;D1;undirected
5;44;D1;undirected
5;49;D1;undirected
5;50;D1;undirected
8;9;D1;undirected
8;17;D1;undirected
9;17;D1;undirected
9;20;D1;undirected
9;39;D1;undirected
9;44;D1;undirected
11;12;D1;undirected
11;28;D1;undirected
11;33;D1;undirected
13;17;D1;undirected
13;39;D1;undirected
13;40;D1;undirected
13;44;D1;undirected
15;17;D1;undirected
15;18;D1;undirected
15;20;D1;undirected
15;21;D1;undirected
15;22;D1;undirected
15;23;D1;undirected
15;24;D1;undirected
15;25;D1;undirected
15;27;D1;undirected
15;28;D1;undirected
15;49;D1;undirected
15;50;D1;undirected
17;28;D1;undirected
17;31;D1;undirected
17;33;D1;undirected
17;39;D1;undirected
17;40;D1;undirected
17;43;D1;undirected
17;44;D1;undirected
17;49;D1;undirected
18;22;D1;undirected
18;24;D1;undirected
18;25;D1;undirected
18;27;D1;undirected
18;28;D1;undirected
20;21;D1;undirected
20;22;D1;undirected
20;23;D1;undirected
20;24;D1;undirected
20;27;D1;undirected
20;28;D1;undirected
20;33;D1;undirected
20;44;D1;undirected
22;23;D1;undirected
22;24;D1;undirected
22;25;D1;undirected
22;27;D1;undirected
22;28;D1;undirected
23;24;D1;undirected
23;25;D1;undirected
23;27;D1;undirected
23;28;D1;undirected
24;25;D1;undirected
24;27;D1;undirected
24;28;D1;undirected
24;33;D1;undirected
25;27;D1;undirected
25;28;D1;undirected
25;31;D1;undirected
25;33;D1;undirected
27;28;D1;undirected
27;46;D1;undirected
28;33;D1;undirected
28;39;D1;undirected
28;43;D1;undirected
31;33;D1;undirected
33;39;D1;undirected
33;44;D1;undirected
39;40;D1;undirected
39;44;D1;undirected
40;43;D1;undirected
40;44;D1;undirected
40;49;D1;undirected
43;46;D1;undirected
44;49;D1;undirected
44;50;D1;undirected
49;50;D1;undirected
