Source;Target;Label;Type
1;2;D2;undirected
1;3;D1,D3,D4,D5;undirected
1;4;D2;undirected
1;5;D2;undirected
1;6;D1;undirected
1;7;D1,D5;undirected
1;8;D2;undirected
1;9;D2;undirected
1;10;D1,D4,D5;undirected
1;11;D1;undirected
1;12;D1;undirected
1;13;D2;undirected
1;14;D1;undirected
2;8;D1,D2,D5;undirected
2;9;D1,D2,D4,D5;undirected
2;15;D2;undirected
2;16;D1,D4,D5;undirected
2;17;D4;undirected
3;6;D1;undirected
3;7;D1,D5;undirected
3;10;D1,D3,D4,D5;undirected
3;11;D1;undirected
3;12;D1;undirected
3;14;D5;undirected
3;29;D5;undirected
3;44;D5;undirected
4;7;D4,D5;undirected
4;8;D1,D2;undirected
4;9;D1,D2,D5;undirected
4;15;D5;undirected
4;20;D5;undirected
4;28;D2,D5;undirected
4;31;D1,D2,D3,D4,D5;undirected
4;34;D1,D4,D5;undirected
4;35;D1,D5;undirected
4;36;D1,D4,D5;undirected
4;38;D1,D4,D5;undirected
5;14;D1;undirected
5;19;D1,D4;undirected
5;37;D1;undirected
5;44;D1,D2,D5;undirected
5;49;D1,D2;undirected
5;50;D1,D2;undirected
6;7;D1,D3,D5;undirected
6;10;D1,D5;undirected
6;11;D1,D4,D5;undirected
6;12;D1,D5;undirected
7;9;D5;undirected
7;10;D1;undirected
7;11;D1,D5;undirected
7;12;D1,D5;undirected
7;14;D5;undirected
7;20;D5;undirected
7;28;D5;undirected
7;39;D5;undirected
8;9;D1,D2,D3,D4,D5;undirected
8;16;D1,D5;undirected
8;17;D2;undirected
8;19;D4;undirected
8;34;D1;undirected
9;14;D5;undirected
9;16;D1,D5;undirected
9;17;D2;undirected
9;20;D1,D2,D5;undirected
9;34;D1,D5;undirected
9;38;D1,D5;undirected
9;39;D2,D5;undirected
9;44;D2;undirected
10;11;D1;undirected
11;12;D1,D2,D4;undirected
11;24;D1;undirected
11;28;D2,D4,D5;undirected
11;33;D2,D4;undirected
13;17;D1,D2,D4,D5;undirected
13;19;D1;undirected
13;39;D1,D2,D4,D5;undirected
13;40;D2;undirected
13;42;D1;undirected
13;43;D1,D4;undirected
13;44;D1,D2,D5;undirected
13;45;D1,D4;undirected
14;19;D1;undirected
14;37;D1;undirected
14;39;D3;undirected
14;44;D5;undirected
14;49;D1;undirected
14;50;D1;undirected
15;17;D2,D4;undirected
15;18;D1,D2;undirected
15;19;D1,D4;undirected
15;20;D2,D5;undirected
15;21;D2;undirected
15;22;D2,D4;undirected
15;23;D2;undirected
15;24;D1,D2;undirected
15;25;D2;undirected
15;27;D2;undirected
15;28;D2;undirected
15;30;D1,D4;undirected
15;49;D2;undirected
15;50;D2;undirected
16;17;D4;undirected
16;34;D1,D4,D5;undirected
16;36;D1,D4,D5;undirected
16;38;D1,D4,D5;undirected
17;19;D1,D4;undirected
17;25;D4;undirected
17;28;D2;undirected
17;29;D4;undirected
17;31;D2;undirected
17;33;D2;undirected
17;39;D1,D2,D3,D4,D5;undirected
17;40;D2,D4,D5;undirected
17;41;D4,D5;undirected
17;42;D1,D3,D4,D5;undirected
17;43;D1,D2,D4,D5;undirected
17;44;D1,D2,D5;undirected
17;45;D1,D3,D4,D5;undirected
17;49;D2,D4;undirected
18;19;D1,D4;undirected
18;20;D5;undirected
18;21;D1;undirected
18;22;D1,D2;undirected
18;23;D1;undirected
18;24;D1,D2;undirected
18;25;D1,D2,D4,D5;undirected
18;26;D1,D5;undirected
18;27;D1,D2,D4;undirected
18;28;D1,D2;undirected
18;29;D1,D4;undirected
18;30;D1;undirected
19;25;D1,D4;undirected
19;29;D1,D4;undirected
19;37;D1;undirected
19;39;D1,D4,D5;undirected
19;40;D1;undirected
19;41;D1;undirected
19;44;D5;undirected
19;45;D1;undirected
19;49;D1,D4,D5;undirected
19;50;D1;undirected
20;21;D1,D2,D3,D5;undirected
20;22;D2,D3,D5;undirected
20;23;D2;undirected
20;24;D2,D3,D5;undirected
20;25;D5;undirected
20;26;D5;undirected
20;27;D2,D3,D5;undirected
20;28;D1,D2,D5;undirected
20;30;D3,D5;undirected
20;31;D5;undirected
20;33;D2;undirected
20;39;D1;undirected
20;44;D2;undirected
21;25;D1;undirected
21;26;D1;undirected
21;27;D1;undirected
21;28;D1;undirected
21;29;D1;undirected
21;30;D1,D5;undirected
21;32;D1;undirected
21;47;D1;undirected
21;51;D1;undirected
22;23;D1,D2;undirected
22;24;D2;undirected
22;25;D1,D2;undirected
22;26;D1,D4,D5;undirected
22;27;D1,D2,D3,D4;undirected
22;28;D1,D2;undirected
22;29;D1;undirected
22;30;D1,D4;undirected
23;24;D2;undirected
23;25;D1,D2,D4;undirected
23;26;D1;undirected
23;27;D1,D2;undirected
23;28;D1,D2;undirected
23;29;D1,D4,D5;undirected
24;25;D2;undirected
24;26;D5;undirected
24;27;D2,D4;undirected
24;28;D1,D2;undirected
24;30;D1,D3,D5;undirected
24;33;D2;undirected
25;26;D1;undirected
25;27;D1,D2,D4;undirected
25;28;D1,D2,D4,D5;undirected
25;29;D1,D4,D5;undirected
25;31;D2,D4;undirected
25;32;D5;undirected
