Source;Target;Label;Type
1;2;1;undirected
1;17;1;undirected
1;22;1;undirected
1;174;1;undirected
1;671;1;undirected
1;834;1;undirected
1;995;1;undirected
1;1318;1;undirected
1;1770;3;undirected
1;2274;1;undirected
1;4255;1;undirected
1;4256;1;undirected
1;4257;1;undirected
1;4258;1;undirected
1;4259;1;undirected
1;6484;1;undirected
1;6485;1;undirected
2;315;1;undirected
2;1509;1;undirected
2;1846;1;undirected
2;2008;4;undirected
2;3494;1;undirected
2;3550;1;undirected
2;3848;1;undirected
2;4182;1;undirected
2;4215;1;undirected
2;4459;1;undirected
2;4499;1;undirected
2;6267;4;undirected
2;6367;1;undirected
2;6368;1;undirected
3;4;1;undirected
3;250;1;undirected
3;3061;1;undirected
4;928;1;undirected
4;2216;1;undirected
4;2364;1;undirected
4;7112;1;undirected
5;6;1;undirected
5;7;1;undirected
5;1612;1;undirected
5;1688;1;undirected
5;2398;1;undirected
5;2478;1;undirected
5;3278;1;undirected
5;3630;1;undirected
5;4260;1;undirected
5;4261;1;undirected
5;6928;1;undirected
6;22;1;undirected
6;174;1;undirected
6;369;1;undirected
6;408;1;undirected
6;643;1;undirected
6;847;1;undirected
6;1051;1;undirected
6;1194;1;undirected
6;1195;1;undirected
6;1268;1;undirected
6;1453;1;undirected
6;2615;1;undirected
6;2743;1;undirected
6;3147;1;undirected
6;4483;1;undirected
6;4611;1;undirected
6;5018;1;undirected
6;5019;1;undirected
7;85;1;undirected
8;9;1;undirected
8;1021;1;undirected
8;4262;1;undirected
9;641;4;undirected
9;709;1;undirected
9;1198;1;undirected
9;2659;4;undirected
9;2831;4;undirected
9;2843;4;undirected
9;4113;1;undirected
9;6419;1;undirected
9;6607;1;undirected
9;7581;4;undirected
9;7777;4;undirected
10;11;1;undirected
10;12;1;undirected
10;253;1;undirected
10;6676;2;undirected
13;14;1;undirected
13;15;1;undirected
13;16;1;undirected
13;1242;1;undirected
13;2161;2;undirected
13;3260;2;undirected
13;4265;1;undirected
14;353;1;undirected
14;1214;1;undirected
14;2058;1;undirected
14;4386;1;undirected
15;3235;4;undirected
15;7686;4;undirected
16;90;1;undirected
16;101;1;undirected
16;126;1;undirected
16;715;1;undirected
16;917;1;undirected
16;1033;1;undirected
16;1035;1;undirected
16;1055;1;undirected
16;1540;1;undirected
16;1819;1;undirected
16;1837;1;undirected
16;2162;1,4;undirected
16;2503;1;undirected
16;2504;1;undirected
16;2505;1;undirected
16;2506;1;undirected
16;2507;1;undirected
16;2517;1;undirected
16;2689;1;undirected
16;3077;1;undirected
16;3682;1;undirected
16;5000;1;undirected
16;5160;4;undirected
16;5581;1;undirected
17;18;1;undirected
17;19;1;undirected
17;20;1;undirected
17;180;1;undirected
17;242;1;undirected
