Source;Target;Label;Type
7178911;5520271;1,2;Undirected
7178911;859702;1,2;Undirected
7178911;2188523;1,2;Undirected
7178911;5523987;1;Undirected
7178911;3925746;1,2;Undirected
7178911;6905171;1;Undirected
7178911;7682108;1;Undirected
17063610;10743564;1,3;Undirected
17063610;18005834;1;Undirected
17063610;18285657;1;Undirected
17063610;24762698;1;Undirected
17063610;17273289;1;Undirected
2642366;1506368;1;Undirected
2642366;15902765;1;Undirected
2642366;1596090;1;Undirected
2642366;1507558;1;Undirected
2642366;6637350;1;Undirected
2642366;7579448;1;Undirected
2642366;4810090;1;Undirected
2642366;5644833;1;Undirected
44870567;3029430;1;Undirected
44870567;4624711;1;Undirected
44870567;12358082;1;Undirected
239286;13706331;2;Undirected
239286;2390099;1;Undirected
1729670;2073504;1;Undirected
1729670;53020;1;Undirected
26003815;36901037;1;Undirected
26003815;1251289;3;Undirected
26003815;12696447;1;Undirected
26003815;2597891;1;Undirected
26003815;71051868;1;Undirected
26003815;10579445;1;Undirected
26003815;11742608;1;Undirected
26003815;10416782;1;Undirected
26003815;98821;1;Undirected
26003815;25413951;1;Undirected
26003815;22144898;1;Undirected
26003815;40200283;1;Undirected
26003815;17400110;1;Undirected
26003815;11906308;1;Undirected
26003815;5388905;1;Undirected
26003815;18317671;1;Undirected
26003815;7308629;1;Undirected
26003815;5465757;1;Undirected
26003815;3833943;1;Undirected
26003815;11622527;1;Undirected
26003815;38791523;1;Undirected
26003815;6844157;1;Undirected
26003815;12358082;1;Undirected
26003815;10298787;1;Undirected
26003815;439986;1;Undirected
26003815;4194988;1,4;Undirected
26003815;21143985;1;Undirected
26003815;12015741;1;Undirected
26003815;7745587;1;Undirected
26003815;25340684;1;Undirected
26003815;8970470;1;Undirected
26003815;2993180;1;Undirected
26003815;5522182;1,3;Undirected
26003815;10462103;1;Undirected
26003815;25967;1;Undirected
26003815;20130320;1;Undirected
26003815;7765714;1;Undirected
26003815;826056;1;Undirected
26003815;2495208;1;Undirected
26003815;292549;1;Undirected
26003815;68702620;1;Undirected
26003815;1281968;1;Undirected
26003815;20830297;1;Undirected
26003815;8328821;1;Undirected
26003815;8575560;1;Undirected
26003815;4696103;1;Undirected
26003815;1087239;1;Undirected
26003815;498139;1;Undirected
26003815;4378090;1;Undirected
26003815;8097251;1;Undirected
26003815;37309794;1;Undirected
26003815;23237006;1;Undirected
26003815;35411778;1;Undirected
26003815;4350318;1;Undirected
26003815;1810411;1;Undirected
26003815;4117697;1;Undirected
26003815;4809814;1;Undirected
26003815;6527337;1;Undirected
26003815;19701365;1;Undirected
26003815;11864377;1;Undirected
26003815;3839828;1;Undirected
26003815;4740976;1;Undirected
26003815;26959397;1;Undirected
26003815;986730;1;Undirected
26003815;30323926;1;Undirected
26003815;5824636;1;Undirected
26003815;50498310;1;Undirected
26003815;40629906;1;Undirected
26003815;86259;1;Undirected
26003815;1645425;1;Undirected
26003815;2189080;1;Undirected
26003815;16726385;1;Undirected
26003815;39127952;1;Undirected
26003815;790199;1;Undirected
26003815;23489029;1;Undirected
26003815;1076223;1;Undirected
26003815;15628470;1;Undirected
26003815;40340613;1;Undirected
26003815;26198;1;Undirected
26003815;5195109;1;Undirected
26003815;78013571;1;Undirected
26003815;5092967;1;Undirected
26003815;25896339;1;Undirected
26003815;4183619;1;Undirected
26003815;8670624;1;Undirected
26003815;561515;1;Undirected
26003815;24191158;1;Undirected
26003815;24177663;1;Undirected
26003815;12845319;1;Undirected
26003815;22314710;1;Undirected
26003815;57606616;1;Undirected
26003815;4982788;1;Undirected
1113980;11064048;1;Undirected
2048730;57963492;1;Undirected
2048730;52851997;1;Undirected
2048730;42593386;1;Undirected
2048730;24998;1;Undirected
2048730;65695849;1;Undirected
2048730;12015741;3;Undirected
2048730;13136605;1;Undirected
2048730;11663281;1;Undirected
2048730;35083000;1;Undirected
2048730;2520364;1;Undirected
2048730;30622285;1;Undirected
2048730;1959745;1;Undirected
2048730;970974;2;Undirected
2048730;7488879;1;Undirected
2048730;35889275;1;Undirected
2048730;72337942;1;Undirected
2048730;1760353;1;Undirected
2048730;31075428;1;Undirected
2048730;1903900;1;Undirected
2048730;39324954;1;Undirected
2048730;74578069;1;Undirected
2048730;77725935;1;Undirected
2048730;24447362;1;Undirected
2048730;52982604;1;Undirected
2048730;631458;3;Undirected
2048730;48336049;1;Undirected
2048730;39557907;1;Undirected
2048730;17367667;1;Undirected
2048730;15722122;1;Undirected
2048730;37902482;1;Undirected
2048730;47263822;1;Undirected
2048730;15104033;1;Undirected
2048730;657993;1;Undirected
2048730;40175643;1;Undirected
2048730;12358082;1;Undirected
2048730;24221739;1;Undirected
2048730;14191495;1;Undirected
2048730;10551316;3;Undirected
2048730;28927981;1;Undirected
2048730;38651888;1;Undirected
2048730;63840005;1;Undirected
2048730;49020687;1;Undirected
2048730;37045236;1;Undirected
2048730;75876606;1;Undirected
2048730;54439211;1;Undirected
2048730;18608234;1;Undirected
2048730;8906580;1;Undirected
2048730;19569718;1;Undirected
2048730;14018245;1;Undirected
2048730;49077829;1;Undirected
2048730;17668909;1;Undirected
2048730;5495031;1;Undirected
2048730;77659372;1;Undirected
2048730;50657360;1;Undirected
2048730;36445671;1;Undirected
2048730;8346190;1;Undirected
2048730;41984513;1;Undirected
2048730;26256142;1;Undirected
2048730;61839593;1;Undirected
2048730;5370658;1;Undirected
2048730;47403484;1;Undirected
2048730;254955;1;Undirected
2048730;37916702;1;Undirected
2048730;21924947;1;Undirected
2048730;45770366;1;Undirected
2048730;15254995;1;Undirected
2048730;23646865;1;Undirected
2048730;22786453;1;Undirected
2048730;1521603;3;Undirected
2048730;35777702;1;Undirected
2048730;1763756;3;Undirected
2048730;459282;1,2;Undirected
2048730;6415321;1;Undirected
2048730;36569496;1;Undirected
2048730;18076089;1;Undirected
2048730;11043936;1;Undirected
2048730;15828295;1;Undirected
2048730;25744594;1;Undirected
2048730;14311997;1;Undirected
2048730;54090547;1;Undirected
2048730;48129119;1;Undirected
2048730;52490521;1;Undirected
