Source;Target;Label;Type
1;49;D3;undirected
1;92;D4;undirected
1;110;D1,D4;undirected
1;145;D1;undirected
1;169;D4;undirected
1;257;D4;undirected
1;292;D4;undirected
1;360;D4;undirected
1;511;D3;undirected
1;877;D4;undirected
1;1322;D4;undirected
1;1430;D1;undirected
1;1530;D4;undirected
1;1604;D4;undirected
1;2463;D1;undirected
1;2789;D1;undirected
1;2965;D1;undirected
1;3071;D3;undirected
2;71;D1;undirected
2;178;D1;undirected
3;16;D4;undirected
3;19;D1,D2;undirected
3;20;D2;undirected
3;53;D3;undirected
3;64;D4;undirected
3;68;D4;undirected
3;75;D4;undirected
3;77;D2;undirected
3;78;D2;undirected
3;82;D3;undirected
3;113;D3;undirected
3;114;D2;undirected
3;121;D4;undirected
3;141;D2;undirected
3;142;D4;undirected
3;150;D1,D2;undirected
3;172;D2;undirected
3;176;D2;undirected
3;213;D4;undirected
3;221;D1;undirected
3;228;D1;undirected
3;238;D1,D2;undirected
3;264;D1;undirected
3;282;D1;undirected
3;300;D3;undirected
3;318;D4;undirected
3;327;D3;undirected
3;349;D3,D4;undirected
3;379;D3;undirected
3;602;D3;undirected
3;625;D3;undirected
3;638;D3;undirected
3;643;D3;undirected
3;713;D4;undirected
3;790;D3;undirected
3;810;D4;undirected
3;844;D4;undirected
3;930;D4;undirected
3;1064;D3;undirected
3;1153;D4;undirected
3;1160;D3;undirected
3;1184;D1,D2;undirected
3;1203;D3;undirected
3;1289;D3;undirected
3;1300;D4;undirected
3;1623;D2;undirected
3;1925;D3,D4;undirected
3;1927;D3;undirected
3;2166;D3,D4;undirected
3;2345;D4;undirected
3;2411;D4;undirected
3;2441;D3;undirected
3;2530;D1,D2;undirected
3;2865;D4;undirected
3;2987;D4;undirected
3;3167;D3;undirected
4;44;D2;undirected
4;202;D3;undirected
4;282;D1;undirected
4;292;D2;undirected
4;482;D1,D2;undirected
4;555;D2;undirected
4;569;D1,D2,D3,D4;undirected
4;584;D4;undirected
4;603;D1;undirected
4;636;D2;undirected
4;990;D2,D4;undirected
4;1203;D3;undirected
4;1253;D1;undirected
4;1351;D3;undirected
4;1821;D3;undirected
4;1848;D1,D2;undirected
4;1923;D2;undirected
4;3344;D1,D2,D3;undirected
5;17;D1;undirected
5;44;D4;undirected
5;92;D1;undirected
5;168;D1;undirected
5;213;D3;undirected
5;387;D3;undirected
5;391;D1;undirected
5;418;D1;undirected
5;1015;D1;undirected
5;1203;D4;undirected
5;1268;D1;undirected
5;1322;D3;undirected
5;1667;D1;undirected
5;2253;D3;undirected
5;3478;D1;undirected
5;3484;D1;undirected
6;217;D1;undirected
6;241;D1;undirected
6;300;D3;undirected
6;403;D3;undirected
6;1435;D3;undirected
6;1602;D1;undirected
6;1732;D3;undirected
6;2782;D3;undirected
6;2875;D1;undirected
6;3167;D3;undirected
6;3242;D1;undirected
7;49;D4;undirected
7;80;D3;undirected
7;228;D4;undirected
7;360;D1;undirected
7;487;D1;undirected
7;1575;D1;undirected
7;1925;D3;undirected
7;2265;D1;undirected
8;178;D1;undirected
8;292;D1,D2;undirected
8;311;D1;undirected
8;1507;D1;undirected
9;19;D4;undirected
9;42;D1;undirected
9;48;D4;undirected
9;74;D1,D2;undirected
9;75;D1,D2;undirected
9;87;D1;undirected
9;121;D4;undirected
9;128;D2;undirected
9;934;D1;undirected
9;936;D1,D2;undirected
9;1184;D1;undirected
9;1434;D4;undirected
9;1551;D1;undirected
9;1986;D1,D2;undirected
9;2328;D1;undirected
9;2471;D1;undirected
9;2778;D1;undirected
9;2781;D1;undirected
10;15;D1;undirected
10;17;D1;undirected
10;18;D2,D4;undirected
10;43;D1;undirected
10;44;D1,D2;undirected
10;56;D1,D2;undirected
10;85;D1;undirected
10;92;D1,D2,D4;undirected
10;99;D1,D4;undirected
10;121;D4;undirected
10;233;D2;undirected
10;262;D1,D2;undirected
10;282;D1;undirected
10;352;D1,D2;undirected
10;353;D1;undirected
10;458;D2;undirected
10;574;D1;undirected
10;588;D4;undirected
10;949;D2;undirected
10;1374;D1;undirected
10;1683;D1,D2;undirected
10;1717;D2;undirected
10;1861;D1,D2;undirected
10;1963;D1;undirected
10;2253;D2;undirected
10;2530;D4;undirected
11;143;D1;undirected
11;345;D1;undirected
11;1866;D1;undirected
12;33;D4;undirected
12;53;D4;undirected
12;142;D4;undirected
12;204;D4;undirected
12;221;D4;undirected
12;263;D4;undirected
12;292;D2;undirected
12;348;D4;undirected
12;349;D4;undirected
12;423;D4;undirected
12;498;D1;undirected
12;749;D4;undirected
12;816;D4;undirected
12;844;D4;undirected
