Source;Target;Label;Type
1577;1386;1,2;Undirected
1577;442;1,2;Undirected
1577;852;1,2;Undirected
1577;1390;1;Undirected
1577;1165;1,2;Undirected
1577;1539;1;Undirected
1577;1638;1;Undirected
2426;1940;1,3;Undirected
2426;2478;1;Undirected
2426;2489;1;Undirected
2426;2749;1;Undirected
2426;2439;1;Undirected
965;661;1;Undirected
965;2373;1;Undirected
965;684;1;Undirected
965;662;1;Undirected
965;1504;1;Undirected
965;1632;1;Undirected
965;1284;1;Undirected
965;1405;1;Undirected
3153;1030;1;Undirected
3153;1261;1;Undirected
3153;2125;1;Undirected
186;2252;2;Undirected
186;892;1;Undirected
729;829;1;Undirected
729;75;1;Undirected
2796;3031;1;Undirected
2796;571;3;Undirected
2796;2169;1;Undirected
2796;948;1;Undirected
2796;3408;1;Undirected
2796;1924;1;Undirected
2796;2064;1;Undirected
2796;1911;1;Undirected
2796;112;1;Undirected
2796;2775;1;Undirected
2796;2661;1;Undirected
2796;3091;1;Undirected
2796;2451;1;Undirected
2796;2081;1;Undirected
2796;1363;1;Undirected
2796;2492;1;Undirected
2796;1595;1;Undirected
2796;1379;1;Undirected
2796;1152;1;Undirected
2796;2044;1;Undirected
2796;3069;1;Undirected
2796;1528;1;Undirected
2796;2125;1;Undirected
2796;1897;1;Undirected
2796;274;1;Undirected
2796;1207;1,4;Undirected
2796;2608;1;Undirected
2796;2092;1;Undirected
2796;1641;1;Undirected
2796;2770;1;Undirected
2796;1772;1;Undirected
2796;1026;1;Undirected
2796;1388;1,3;Undirected
2796;1913;1;Undirected
2796;36;1;Undirected
2796;2572;1;Undirected
2796;1643;1;Undirected
2796;432;1;Undirected
2796;918;1;Undirected
2796;211;1;Undirected
2796;3391;1;Undirected
2796;583;1;Undirected
2796;2592;1;Undirected
2796;1706;1;Undirected
2796;1736;1;Undirected
2796;1270;1;Undirected
2796;525;1;Undirected
2796;298;1;Undirected
2796;1236;1;Undirected
2796;1682;1;Undirected
2796;3041;1;Undirected
2796;2696;1;Undirected
2796;3010;1;Undirected
2796;1231;1;Undirected
2796;753;1;Undirected
2796;1191;1;Undirected
2796;1283;1;Undirected
2796;1487;1;Undirected
2796;2560;1;Undirected
2796;2076;1;Undirected
2796;1155;1;Undirected
2796;1274;1;Undirected
2796;2823;1;Undirected
2796;491;1;Undirected
2796;2918;1;Undirected
2796;1423;1;Undirected
2796;3222;1;Undirected
2796;3096;1;Undirected
2796;101;1;Undirected
2796;703;1;Undirected
2796;853;1;Undirected
2796;2406;1;Undirected
2796;3074;1;Undirected
2796;420;1;Undirected
2796;2708;1;Undirected
2796;520;1;Undirected
2796;2360;1;Undirected
2796;3094;1;Undirected
2796;37;1;Undirected
2796;1337;1;Undirected
2796;3457;1;Undirected
2796;1327;1;Undirected
2796;2793;1;Undirected
2796;1204;1;Undirected
2796;1748;1;Undirected
2796;329;1;Undirected
2796;2732;1;Undirected
2796;2731;1;Undirected
2796;2189;1;Undirected
2796;2667;1;Undirected
2796;3310;1;Undirected
2796;1310;1;Undirected
534;1969;1;Undirected
822;3315;1;Undirected
822;3252;1;Undirected
822;3131;1;Undirected
822;34;1;Undirected
822;3375;1;Undirected
822;2092;3;Undirected
822;2216;1;Undirected
822;2050;1;Undirected
822;3007;1;Undirected
822;923;1;Undirected
822;2924;1;Undirected
822;798;1;Undirected
822;482;2;Undirected
822;1616;1;Undirected
822;3017;1;Undirected
822;3423;1;Undirected
822;737;1;Undirected
822;2933;1;Undirected
822;781;1;Undirected
822;3077;1;Undirected
822;3435;1;Undirected
822;3455;1;Undirected
822;2742;1;Undirected
822;3253;1;Undirected
822;354;3;Undirected
822;3202;1;Undirected
822;3081;1;Undirected
822;2446;1;Undirected
822;2365;1;Undirected
822;3049;1;Undirected
822;3184;1;Undirected
822;2331;1;Undirected
822;368;1;Undirected
822;3090;1;Undirected
822;2125;1;Undirected
822;2734;1;Undirected
822;2286;1;Undirected
822;1921;3;Undirected
822;2884;1;Undirected
822;3065;1;Undirected
822;3364;1;Undirected
822;3206;1;Undirected
822;3035;1;Undirected
822;3445;1;Undirected
822;3271;1;Undirected
822;2510;1;Undirected
822;1768;1;Undirected
822;2552;1;Undirected
822;2273;1;Undirected
822;3208;1;Undirected
822;2464;1;Undirected
822;1383;1;Undirected
822;3454;1;Undirected
822;3224;1;Undirected
822;3026;1;Undirected
822;1707;1;Undirected
822;3120;1;Undirected
822;2805;1;Undirected
822;3350;1;Undirected
822;1359;1;Undirected
822;3186;1;Undirected
822;193;1;Undirected
822;3051;1;Undirected
822;2648;1;Undirected
822;3163;1;Undirected
822;2343;1;Undirected
822;2715;1;Undirected
822;2684;1;Undirected
822;666;3;Undirected
822;3016;1;Undirected
822;740;3;Undirected
822;283;1,2;Undirected
822;1479;1;Undirected
822;3029;1;Undirected
822;2481;1;Undirected
822;1964;1;Undirected
822;2370;1;Undirected
822;2786;1;Undirected
822;2294;1;Undirected
822;3265;1;Undirected
822;3198;1;Undirected
822;3245;1;Undirected
822;1939;1;Undirected
822;464;1;Undirected
822;2171;3;Undirected
822;2990;1;Undirected
822;3122;1;Undirected
822;3067;1;Undirected
822;3260;1;Undirected
822;2679;1;Undirected
822;1620;1;Undirected
822;2800;1;Undirected
822;3038;1;Undirected
822;2871;1;Undirected
822;1618;1;Undirected
822;1030;1;Undirected
822;3452;1;Undirected
822;3064;1;Undirected
822;1127;1;Undirected
822;3087;1;Undirected
822;2546;1;Undirected
822;2790;1;Undirected
822;2422;1;Undirected
822;3385;1;Undirected
822;3374;1;Undirected
822;3356;1;Undirected
822;3251;1;Undirected
822;1793;1;Undirected
822;3121;1;Undirected
822;1273;1;Undirected
822;3185;1;Undirected
822;697;1;Undirected
822;2559;1;Undirected
822;3112;1;Undirected
822;2727;1,2;Undirected
822;3078;1;Undirected
822;3116;1;Undirected
822;463;1;Undirected
822;3048;1;Undirected
822;2022;1;Undirected
822;1463;1;Undirected
822;2095;1;Undirected
822;1787;1;Undirected
822;3063;1;Undirected
822;627;1;Undirected
822;2288;1;Undirected
822;3410;1;Undirected
822;2672;1;Undirected
822;3094;1;Undirected
822;2797;1;Undirected
822;249;1;Undirected
822;2968;1;Undirected
822;2400;1;Undirected
822;2945;1;Undirected
822;3171;1;Undirected
822;1655;1;Undirected
822;494;1;Undirected
822;2819;1;Undirected
822;3126;1;Undirected
822;3083;1;Undirected
822;3326;1;Undirected
822;2654;1;Undirected
822;2243;1;Undirected
822;2678;1;Undirected
822;2770;1;Undirected
822;3192;1;Undirected
822;1926;1;Undirected
822;2499;1;Undirected
822;1368;1;Undirected
822;3024;1;Undirected
822;3305;1;Undirected
822;1436;1;Undirected
822;160;3;Undirected
822;1517;1;Undirected
822;3134;1;Undirected
822;1545;1;Undirected
822;2732;1;Undirected
822;3264;1;Undirected
822;2731;1;Undirected
822;3278;1;Undirected
822;1968;1;Undirected
822;2441;3;Undirected
822;2601;1;Undirected
822;3188;1;Undirected
822;3125;1;Undirected
822;2168;1;Undirected
822;3000;1;Undirected
822;3419;1;Undirected
822;499;1;Undirected
822;3034;1;Undirected
822;3182;1;Undirected
822;2811;1;Undirected
2188;1922;1;Undirected
2188;1905;1;Undirected
2188;1131;1;Undirected
